2014-05-12/16:16:27.203/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.GroundGrid
2014-05-12/16:16:27.203/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.GroundGrid
2014-05-12/16:16:27.203/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.203/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.203/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.203/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.204/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.204/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.204/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.204/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.204/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.204/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.204/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.204/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.205/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.GroundGrid
2014-05-12/16:16:27.205/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.GroundGrid
2014-05-12/16:16:27.205/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.GroundGrid
2014-05-12/16:16:27.205/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.RoadGrid
2014-05-12/16:16:27.205/CESTDEBUGdrawObject was called for class team.uninter.mordorq.gamespace.GroundGrid
